,Polling_booth,ALP_Vote,LNP_Vote,Inf,Vote_total,ALP_Approx_%
,Brighton,1141,1332,122,2595,0.4613829357
,Brighton Beach,465,694,44,1203,0.4012079379
,Brighton East,449,423,34,906,0.5149082569
,Brighton High,241,297,43,581,0.4479553903
,Dendy,493,752,46,1291,0.3959839357
,Elsternwick South,568,458,48,1074,0.5536062378
,Elwood,1207,627,78,1912,0.6581243184
,Elwood North,1486,469,90,2045,0.7601023018
,Gardenvale,614,779,55,1448,0.4407753051
,Hampton,788,751,66,1605,0.5120207927
,Hampton East,108,150,9,267,0.4186046512
,Landcox,684,603,40,1327,0.5314685315
,Ludstone,659,605,56,1320,0.5213607595
,Middle Brighton,679,1080,81,1840,0.3860147811
,Ordinary Votes Total,9582,9020,812,19414,0.5151059026