Ced Code,Ced Code16,Ced Name,Area Sqkm,Geometry
CED101,101,Banks,49.446,Polygon
CED102,102,Barton,39.6466,Polygon
CED103,103,Bennelong,58.6052,Polygon
CED104,104,Berowra,749.636,MultiPolygon
CED105,105,Blaxland,61.1166,Polygon
CED106,106,Bradfield,98.3974,Polygon
CED107,107,Calare,32417.3,Polygon
CED108,108,Chifley,129.381,Polygon
CED109,109,Cook,64.433,Polygon
CED110,110,Cowper,7770.76,MultiPolygon
CED111,111,Cunningham,1026.23,MultiPolygon
CED112,112,Dobell,716.313,MultiPolygon
CED113,113,Eden-Monaro,41312.4,MultiPolygon
CED114,114,Farrer,126818,Polygon
CED115,115,Fowler,60.3246,Polygon
CED116,116,Gilmore,6120.37,MultiPolygon
CED117,117,Grayndler,27.0637,MultiPolygon
CED118,118,Greenway,80.4886,Polygon
CED119,119,Hughes,323.704,Polygon
CED120,120,Hume,18759.7,Polygon
CED121,121,Hunter,9987.08,Polygon
CED122,122,Kingsford Smith,57.6527,MultiPolygon
CED123,123,Lindsay,349.173,Polygon
CED124,124,Lyne,16049.8,MultiPolygon
CED125,125,Macarthur,375.941,Polygon
CED126,126,Mackellar,212.457,MultiPolygon
CED127,127,Macquarie,3616.56,Polygon
CED128,128,McMahon,163.199,Polygon
CED129,129,Mitchell,98.4496,Polygon
CED130,130,New England,65448.4,Polygon
CED131,131,Newcastle,163.92,Polygon
CED132,132,North Sydney,41.6454,MultiPolygon
CED133,133,Page,19312.5,MultiPolygon
CED134,134,Parkes,393580,Polygon
CED135,135,Parramatta,56.4764,Polygon
CED136,136,Paterson,1076.32,MultiPolygon
CED137,137,Reid,48.8519,Polygon
CED138,138,Richmond,2138.31,MultiPolygon
CED139,139,Riverina,48941.9,Polygon
CED140,140,Robertson,892.278,MultiPolygon
CED141,141,Shortland,204.252,MultiPolygon
CED142,142,Sydney,41.3143,MultiPolygon
CED143,143,Warringah,52.2796,MultiPolygon
CED144,144,Watson,47.6845,Polygon
CED145,145,Wentworth,28.3334,MultiPolygon
CED146,146,Werriwa,169.637,Polygon
CED147,147,Whitlam,972.951,MultiPolygon
CED194,194,No usual address (NSW),0,
CED197,197,Migratory - Offshore - Shipping (NSW),0,
CED201,201,Aston,103.413,Polygon
CED202,202,Ballarat,4627.27,Polygon
CED203,203,Batman,66.4352,Polygon
CED204,204,Bendigo,6252.09,Polygon
CED205,205,Bruce,72.9999,Polygon
CED206,206,Calwell,162.168,Polygon
CED207,207,Casey,2348.83,Polygon
CED208,208,Chisholm,64.7179,Polygon
CED209,209,Corangamite,7691.92,MultiPolygon
CED210,210,Corio,936.483,Polygon
CED211,211,Deakin,69.961,Polygon
CED212,212,Dunkley,155.04,Polygon
CED213,213,Flinders,1994.25,MultiPolygon
CED214,214,Gellibrand,100.685,Polygon
CED215,215,Gippsland,33008.4,MultiPolygon
CED216,216,Goldstein,50.6625,Polygon
CED217,217,Gorton,561.604,Polygon
CED218,218,Higgins,40.0019,Polygon
CED219,219,Holt,129.557,Polygon
CED220,220,Hotham,74.0984,Polygon
CED221,221,Indi,28842.3,Polygon
CED222,222,Isaacs,155.121,Polygon
CED223,223,Jagajaga,127.993,Polygon
CED224,224,Kooyong,52.4187,Polygon
CED225,225,La Trobe,517.344,Polygon
CED226,226,Lalor,547.187,Polygon
CED227,227,Mallee,73888.4,Polygon
CED228,228,Maribyrnong,72.5146,Polygon
CED229,229,McEwen,4670.34,Polygon
CED230,230,McMillan,8412.38,MultiPolygon
CED231,231,Melbourne,46.5391,Polygon
CED232,232,Melbourne Ports,40.0184,Polygon
CED233,233,Menzies,126.259,Polygon
CED234,234,Murray,19049.2,Polygon
CED235,235,Scullin,160.091,Polygon
CED236,236,Wannon,32220.1,MultiPolygon
CED237,237,Wills,56.8549,Polygon
CED294,294,No usual address (Vic.),0,
CED297,297,Migratory - Offshore - Shipping (Vic.),0,
CED301,301,Blair,6403.07,Polygon
CED302,302,Bonner,375.238,MultiPolygon
CED303,303,Bowman,537.167,MultiPolygon
CED304,304,Brisbane,58.4653,Polygon
CED305,305,Capricornia,94180,MultiPolygon
CED306,306,Dawson,11515.6,MultiPolygon
CED307,307,Dickson,720.974,Polygon
CED308,308,Fadden,396.095,MultiPolygon
CED309,309,Fairfax,1049.47,MultiPolygon
CED310,310,Fisher,1154.58,MultiPolygon
CED311,311,Flynn,132932,MultiPolygon
CED312,312,Forde,426.584,Polygon
CED313,313,Griffith,55.4296,Polygon
CED314,314,Groom,5665.75,Polygon
CED315,315,Herbert,1128.16,MultiPolygon
CED316,316,Hinkler,3489.97,MultiPolygon
CED317,317,Kennedy,582414,MultiPolygon
CED318,318,Leichhardt,133076,MultiPolygon
CED319,319,Lilley,142.709,Polygon
CED320,320,Longman,1247.5,MultiPolygon
CED321,321,Maranoa,729810,Polygon
CED322,322,McPherson,231,Polygon
CED323,323,Moncrieff,91.9129,MultiPolygon
CED324,324,Moreton,109.634,Polygon
CED325,325,Oxley,153.044,Polygon
CED326,326,Petrie,147.428,Polygon
CED327,327,Rankin,130.969,Polygon
CED328,328,Ryan,428.044,Polygon
CED329,329,Wide Bay,14527.3,MultiPolygon
CED330,330,Wright,7574.78,Polygon
CED394,394,No usual address (Qld),0,
CED397,397,Migratory - Offshore - Shipping (Qld),0,
CED401,401,Adelaide,76.0361,Polygon
CED402,402,Barker,58548.5,MultiPolygon
CED403,403,Boothby,134.729,Polygon
CED404,404,Grey,908519,MultiPolygon
CED405,405,Hindmarsh,77.4456,Polygon
CED406,406,Kingston,176.583,Polygon
CED407,407,Makin,130.674,Polygon
CED408,408,Mayo,9358.13,MultiPolygon
CED409,409,Port Adelaide,176.768,MultiPolygon
CED410,410,Sturt,85.3414,Polygon
CED411,411,Wakefield,6991.61,Polygon
CED494,494,No usual address (SA),0,
CED497,497,Migratory - Offshore - Shipping (SA),0,
CED501,501,Brand,377.702,MultiPolygon
CED502,502,Burt,173.831,Polygon
CED503,503,Canning,6172.09,MultiPolygon
CED504,504,Cowan,178.865,Polygon
CED505,505,Curtin,86.7006,Polygon
CED506,506,Durack,1626550,MultiPolygon
CED507,507,Forrest,11066.9,MultiPolygon
CED508,508,Fremantle,194.237,MultiPolygon
CED509,509,Hasluck,1201.4,Polygon
CED510,510,Moore,89.8495,Polygon
CED511,511,O'Connor,866981,MultiPolygon
CED512,512,Pearce,13227.6,MultiPolygon
CED513,513,Perth,75.4167,Polygon
CED514,514,Stirling,74.1177,Polygon
CED515,515,Swan,123.707,Polygon
CED516,516,Tangney,72.5547,Polygon
CED594,594,No usual address (WA),0,
CED597,597,Migratory - Offshore - Shipping (WA),0,
CED601,601,Bass,7452.89,MultiPolygon
CED602,602,Braddon,20869.7,MultiPolygon
CED603,603,Denison,295.368,Polygon
CED604,604,Franklin,2769.13,MultiPolygon
CED605,605,Lyons,36630.8,MultiPolygon
CED694,694,No usual address (Tas.),0,
CED697,697,Migratory - Offshore - Shipping (Tas.),0,
CED701,701,Lingiari,1348010,MultiPolygon
CED702,702,Solomon,231.416,MultiPolygon
CED794,794,No usual address (NT),0,
CED797,797,Migratory - Offshore - Shipping (NT),0,
CED801,801,Canberra,2004.27,MultiPolygon
CED802,802,Fenner,460.363,MultiPolygon
CED894,894,No usual address (ACT),0,
CED897,897,Migratory - Offshore - Shipping (ACT),0,
CED994,994,No usual address (OT),0,
CED997,997,Migratory - Offshore - Shipping (OT),0,
